嘬	chuai	primary
嘬	zuo	alt
嘭	peng	primary
嘱	zhu	primary
嘲	chao	primary
嘴	zui	primary
嘶	si	primary
嘹	liao	primary
嘻	xi	primary
嘿	hei	primary
噀	xun	primary
噂	zun	primary
噇	chuang	primary
噌	ceng	primary
噍	jiao	primary
噎	ye	primary
噔	deng	primary
噗	pu	primary
噘	jue	primary
噙	qin	primary
噜	lu	primary
噢	o	primary
噤	jin	primary
器	qi	primary
噩	e	primary
噪	zao	primary
噫	yi	primary
噬	shi	primary
噱	jue	primary
噱	xue	alt
噶	ga	primary
噻	sai	primary
噼	pi	primary
嚄	huo	primary
嚅	ru	primary
嚆	hao	primary
嚎	hao	primary
嚏	ti	primary
嚓	ca	primary
嚓	cha	alt
嚚	yin	primary
嚣	xiao	primary
嚭	pi	primary
嚯	huo	primary
嚷	rang	primary
嚼	jue	primary
嚼	jiao	alt
囊	nang	primary
囔	nang	primary
囚	qiu	primary
四	si	primary
回	hui	primary
囟	xin	primary
因	yin	primary
囡	nan	primary
团	tuan	primary
囤	dun	primary
囤	tun	alt
囫	hu	primary
园	yuan	primary
困	kun	primary
囱	cong	primary
围	wei	primary
囵	lun	primary
囷	qun	primary
囹	ling	primary
固	gu	primary
国	guo	primary
图	tu	primary
囿	you	primary
圃	pu	primary
圄	yu	primary
圆	yuan	primary
圈	quan	primary
圈	juan	alt
圉	yu	primary
圊	qing	primary
圌	chuan	primary
圌	chui	alt
圐	ku	primary
圙	lve	primary
圜	huan	primary
圜	yuan	alt
土	tu	primary
圢	ting	primary
圣	sheng	primary
在	zai	primary
圩	wei	primary
圩	xu	alt
圪	ge	primary
圫	yu	primary
圫	tuo	alt
圬	wu	primary
圭	gui	primary
圮	pi	primary
圯	yi	primary
地	di	primary
地	de	alt
圲	qian	primary
圳	zhen	primary
圹	kuang	primary
场	chang	primary
圻	qi	primary
圾	ji	primary
址	zhi	primary
坂	ban	primary
均	jun	primary
坉	tun	primary
坊	fang	primary
坋	ben	primary
坋	fen	alt
坌	ben	primary
坍	tan	primary
坎	kan	primary
坏	huai	primary
坐	zuo	primary
坑	keng	primary
坒	bi	primary
块	kuai	primary
坚	jian	primary
坛	tan	primary
坜	li	primary
坝	ba	primary
坞	wu	primary
坟	fen	primary
坠	zhui	primary
坡	po	primary
坤	kun	primary
坥	qu	primary
坦	tan	primary
坨	tuo	primary
坩	gan	primary
坪	ping	primary
坫	dian	primary
坬	gua	primary
坬	wa	alt
坭	ni	primary
坯	pi	primary
坰	jiong	primary
坳	ao	primary
坷	ke	primary
坻	chi	primary
坻	di	alt
坼	che	primary
坽	ling	primary
垂	chui	primary
垃	la	primary
垄	long	primary
垆	lu	primary
垈	dai	primary
型	xing	primary
垌	dong	primary
垌	tong	alt
垍	ji	primary
垎	he	primary
垏	lv	primary
垒	lei	primary
垓	gai	primary
垕	hou	primary
垙	guang	primary
垚	yao	primary
垛	duo	primary
垞	cha	primary
垟	yang	primary
垠	yin	primary
垡	fa	primary
垢	gou	primary
垣	yuan	primary
垤	die	primary
垦	ken	primary
垧	shang	primary
