# XHUP Flow 规范高频词语数据:万象 / RIME-LMDG 基础词库的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 4618d67a978ff4f41b165c10b35558d38e333ab1
# source_path: dicts/jichu.dict.yaml
# source_blob_sha: a0f66e2fc6130f3f1c9b2e5109644c8b893477b0
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 与字频数据一致(去声调五组;ü 族→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略)
# aggregation: 归一化后落到同一 (词, 规范读音序列) 的全部源行分数按 u64 校验和聚合
# match_policy: 每字属于规范 8105 清单、对应读音是该字规范读音且可编码为
#   XHUP 输入音节;不发明新读音
# collision_policy: 二字词按 semantic entry(词 + 读音序列)推导 4 键码,
#   与规范单字全码集冲突的 semantic entry 被排除;同词形的不冲突读音序列保留
# selection: 各词长独立按 (分数降序, 词 Unicode 升序, 读音序列升序) 取
#   前 50000 / 30000 / 20000 条;合法候选不足目标即失败,不静默缩水
# serialization: 词长升序 → 词 Unicode 升序 → 读音序列升序
# rows: 100000
下午	xia wu	43605
下单	xia dan	13690
下卡	xia ka	976
下卷	xia juan	937
下厨	xia chu	1353
下去	xia qu	62495
下叉	xia cha	918
下发	xia fa	3021
下台	xia tai	2578
下同	xia tong	1410
下吧	xia ba	2182
下呀	xia ya	1758
下周	xia zhou	3624
下咯	xia lo	954
下回	xia hui	1269
下图	xia tu	38741
下土	xia tu	958
下地	xia di	1601
下场	xia chang	11995
下坠	xia zhui	1476
下坡	xia po	2537
下垂	xia chui	2474
下头	xia tou	860
下学	xia xue	1395
下层	xia ceng	4098
下届	xia jie	1796
下属	xia shu	15970
下岗	xia gang	2176
下巴	xia ba	9665
下帖	xia tie	1223
下平	xia ping	1215
下床	xia chuang	2072
下手	xia shou	10864
下拉	xia la	2980
下拨	xia bo	821
下挂	xia gua	932
下挫	xia cuo	1159
下掉	xia diao	1107
下探	xia tan	933
下播	xia bo	864
下文	xia wen	8842
下斗	xia dou	783
下旨	xia zhi	1598
下旬	xia xun	2989
下有	xia you	2763
下期	xia qi	1051
下来	xia lai	110327
下查	xia cha	872
下标	xia biao	1196
下桌	xia zhuo	1044
下棋	xia qi	5583
下楼	xia lou	4610
下榻	xia ta	992
下次	xia ci	27274
下歌	xia ge	5299
下步	xia bu	2020
下毒	xia du	1234
下水	xia shui	4788
下沉	xia chen	5194
下沙	xia sha	1116
下注	xia zhu	2123
下流	xia liu	1551
下海	xia hai	1827
下游	xia you	7106
下滑	xia hua	13147
下潜	xia qian	1077
下火	xia huo	1251
下片	xia pian	980
下班	xia ban	15800
下略	xia lve	752
下的	xia de	64150
下盘	xia pan	791
下砸	xia za	778
下移	xia yi	1004
下站	xia zhan	1148
下端	xia duan	870
下策	xia ce	913
下筷	xia kuai	1071
下签	xia qian	896
下级	xia ji	2565
下线	xia xian	10290
下细	xia xi	828
下罗	xia luo	857
下联	xia lian	1413
下肚	xia du	1413
下肢	xia zhi	4603
下胸	xia xiong	886
下船	xia chuan	1457
