# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
冗	bj	rsbj	bj	
写	by	xpby	by	
冚	be	kjbe	-	
军	bi	jybi	bi	
农	dn	nsdn	dn	
冠	bc	grbc	bc	
冢	bn	vsbn	bn	
冤	bd	yrbd	bd	
冥	bb	mkbb	bb	
冧	bm	lbbm	-	
冬	wd	dswd	wd	
冮	dg	ghdg	dg	
冯	dm	pkdm fgdm	dm	
冰	du	bkdu	du	
冱	dh	hudh	dh	
冲	dv	isdv	dv	
决	dg	jtdg	dg	
冴	dy	yady	-	
况	de	klde	de	
冶	dk	yedk	dk	
冷	ds	lgds	ds	
冻	dd	dsdd	dd	
冼	de	xmde	de	
冽	dd	lpdd	dd	
净	dl	jkdl	dl	
凄	dn	qidn	dn	
准	df	vydf	df	
凇	ds	ssds	ds	
凉	dx	lldx	dx	
凊	do	qkdo	-	
凋	dk	dndk	dk	
凌	dw	lkdw	dw	
减	dk	jmdk	dk	
凑	dt	czdt	dt	
凓	dm	lidm	dm	
凘	dj	sidj	dj	
凛	dx	lbdx	dx	
凝	dr	nkdr	dr	
几	pv	jipv	pv	
凡	jd	fjjd	jd	
凤	jy	fgjy	jy	
凨	js	fgjs	-	
凪	jv	vijv	-	
凫	pj	fupj	pj	
凬	jo	fgjo	-	
凭	rj	pkrj	rj	
凯	ej	kdej	ej	
凰	jw	hljw	jw	
凳	vj	dgvj	vj	
凶	xk	xsxk	xk	
凸	la	tula	la	
凹	la	aola wala	la	
出	vk	iuvk	vk	
击	ak	jiak	ak	
凼	uk	dhuk	uk	
函	lk	hjlk	lk	
凿	yk	zcyk	yk	
刀	vp	dcvp	vp	
刁	va	dnva	va	
刃	dd	rfdd	dd	
分	bd	ffbd	bd	
切	qd	qpqd	qd	
刈	xd	yixd	xd	
刊	gd	kjgd	gd	
刍	de	iude	de	
刎	wd	wfwd	wd	
