傃	亻 小	亻 龶 幺 小	sù
傅	亻 寸	亻 甫 寸	fù
傈	亻 木	亻 西 木	lì
傉	亻 寸	亻 厂 二 乛 丿 ㄟ 寸	nù
傍	亻 方	亻 亠 丷 冖 方	bàng
傒	亻 大	亻 丿 ⺍ 幺 大	xī xì
傕	亻 龶	亻 丶 乛 丿 丨 亠 龶	jué
傣	亻 氺	亻 寿上 ㄟ 氺	dǎi
傥	亻 儿	亻 ⺌ 冖 口 儿	tǎng
傧	亻 八	亻 宀 丘 八	bīn
储	亻 日	亻 讠 耂 日	chǔ
傩	亻 龶	亻 又 亻 亠 龶	nuó
催	亻 龶	亻 山 亻 亠 龶	cuī
傲	亻 攵	亻 龶 乛 丿 攵	ào
傺	亻 小	亻 丿 乛 丶 丶 二 小	chì
傻	亻 夂	亻 丿 囗 乂 八 夂	shǎ
僇	亻 丿	亻 习 习 人 丿 丿 丿	lù
僎	亻 八	亻 巳 巳 艹 一 八	zhuàn
像	亻 ㄟ	亻 ⺈ 丨 乛 一 丿 乛 丿 丿 丿 ㄟ	xiàng
僔	亻 寸	亻 丷 酉 寸	zǔn
僖	亻 口	亻 士 口 丷 一 口	xī
僚	亻 小	亻 大 丶 丿 日 小	liáo
僦	亻 尤	亻 亠 口 小 尤	jiù
僧	亻 日	亻 丷 囗 ⺌ 日	sēng
僬	亻 灬	亻 亻 亠 龶 灬	jiāo
僭	亻 日	亻 一 乛 丿 乛 一 乛 丿 乛 日	jiàn
僮	亻 里	亻 立 里	tóng zhuàng
僰	一 人	一 丨 乛 丨 丿 ㄟ 一 丨 乛 丨 丿 ㄟ 人	bó
僳	亻 米	亻 西 米	sù
僵	亻 一	亻 一 田 一 田 一	jiāng
僻	亻 十	亻 尸 口 立 十	pì
儆	亻 攵	亻 艹 勹 口 攵	jǐng
儇	亻 𧘇	亻 罒 一 口 𧘇	xuān
儋	亻 口	亻 ⺈ 厂 八 亠 一 一 口	dān dàn
儒	亻 而	亻 雨 而	rú
儡	亻 田	亻 田 田 田	léi lěi
儦	亻 灬	亻 广 乛 丨 丨 一 比左 匕 灬	biāo
儳	亻 丶	亻 ⺈ 口 比左 匕 ⺈ 丨 乛 一 丿 乛 丶	chán chàn
儴	亻 𧘇	亻 亠 口 口 一 一 丨 丨 一 𧘇	ráng
儿	丿 乛	丿 乛	ér er
兀	一 儿	一 儿	wù
允	厶 儿	厶 儿	yǔn
元	二 儿	二 儿	yuán
兄	口 儿	口 儿	xiōng
充	亠 儿	亠 厶 儿	chōng
兆	儿 丶	儿 冫 丿 丶	zhào
先	⺧ 儿	⺧ 儿	xiān
光	⺌ 兀	⺌ 兀	guāng
克	十 儿	十 口 儿	kè kēi
免	⺈ 乛	⺈ 丨 乛 一 丿 乛	miǎn
兑	丷 儿	丷 口 儿	duì ruì yuè
兔	⺈ 丶	⺈ 丨 乛 一 丿 乛 丶	tù
兕	凹 儿	凹 儿	sì
兖	亠 儿	亠 八 厶 儿	yǎn
党	⺌ 儿	⺌ 冖 口 儿	dǎng
兜	丿 儿	丿 乛 白 乛 一 儿	dōu
兢	十 儿	十 口 儿 十 口 儿	jīng
